time,Agg-1
1998-01-01,-0.382302422631212
1998-02-01,-1.8366995522790373
1998-03-01,-0.45702352653597467
1998-04-01,0.1349109267802687
1998-05-01,-0.2729647244072816
1998-06-01,0.45917512626044854
1998-07-01,0.4531504663311868
1998-08-01,-0.18700633504022154
1998-09-01,1.4854533534709282
1998-10-01,1.5902537936794396
1998-11-01,0.5740853725610057
1998-12-01,-0.8173554566944907
1999-01-01,-1.0362068293781401
1999-02-01,1.7291320996249282
1999-03-01,-0.81394109093426
1999-04-01,1.023227863497572
1999-05-01,0.0267904972883339
1999-06-01,0.7971151607002677
1999-07-01,0.9508775345442826
1999-08-01,0.267634781701634
1999-09-01,-0.4245719817158288
1999-10-01,-0.6467068396110666
1999-11-01,0.3722290400543725
1999-12-01,1.5014467030645453
2000-01-01,-0.687593282296742
2000-02-01,-0.4951833018858121
2000-03-01,0.8824239104825811
2000-04-01,-0.46215481017428844
2000-05-01,-1.757901638132078
2000-06-01,-1.972597998717758
2000-07-01,-0.013790707072220515
2000-08-01,-1.4477298125826323
2000-09-01,-0.028867869281885908
2000-10-01,-1.0659763027796945
2000-11-01,-0.010338309820382075
2000-12-01,-0.1280437583123312
2001-01-01,0.186156129565832
2001-02-01,-0.49057075047330334
2001-03-01,1.3899456525904028
2001-04-01,1.0360284581816512
2001-05-01,-2.1215371141501675
2001-06-01,1.2777964992494317
2001-07-01,-0.12925630045721848
2001-08-01,-0.4688819352090576
2001-09-01,1.9347244254690628
2001-10-01,-1.7939958640012388
2001-11-01,0.4556164996437674
2001-12-01,-0.38333717509765275
2002-01-01,-2.290833809752416
2002-02-01,-0.42342543379516046
2002-03-01,-0.2167537968966409
2002-04-01,-0.041339475876774924
2002-05-01,-0.6007427106054326
2002-06-01,-0.6234584890666844
2002-07-01,0.7725572275380967
2002-08-01,1.2574551839033723
2002-09-01,0.46575082780647153
2002-10-01,0.8083260330702181
2002-11-01,0.43747339236329114
2002-12-01,0.1962018684190113
2003-01-01,0.9061837222941612
2003-02-01,-1.0281075691216794
2003-03-01,-1.907055891099876
2003-04-01,-0.9215807734287956
2003-05-01,-1.102424832035662
2003-06-01,-2.004386113254792
2003-07-01,-0.05378025188753014
2003-08-01,-2.4168205067314252
2003-09-01,-0.42079861785632394
2003-10-01,1.75902126535911
2003-11-01,-0.7563119286467286
2003-12-01,-0.5230180956109485
2004-01-01,1.3241365962501188
2004-02-01,0.530849805824588
2004-03-01,-0.05972557218471582
2004-04-01,0.28727684905555795
2004-05-01,-0.007629422777172548
2004-06-01,0.2347997745522397
2004-07-01,0.18875186465185143
2004-08-01,0.4596761589933349
2004-09-01,-0.43920925410422534
2004-10-01,-0.25639592731744887
2004-11-01,0.8882770384869092
2004-12-01,-0.3640145636717777
2005-01-01,0.14918169095114808
2005-02-01,1.0249853702512686
2005-03-01,-0.48031966459682685
2005-04-01,1.0965583557778735
2005-05-01,0.43554562482962544
2005-06-01,-0.4433136171947753
2005-07-01,1.5287347628052546
2005-08-01,1.7661960098047014
2005-09-01,0.270603862561238
2005-10-01,-1.4984875673901505
2005-11-01,-0.34058794857916064
2005-12-01,0.9335553105524513
2006-01-01,-0.8223293312951994
2006-02-01,-0.01678537473630951
2006-03-01,1.3726347338882663
2006-04-01,1.1355656633753948
2006-05-01,0.33517796600553523
2006-06-01,0.728739518538441
2006-07-01,-1.4847483921967297
2006-08-01,1.5461567323577314
2006-09-01,-1.7646813259015053
2006-10-01,-1.312224243231134
2006-11-01,-1.0281595010194917
2006-12-01,-0.9778698093900351
2007-01-01,0.5598125059249696
2007-02-01,0.36236131906047186
2007-03-01,0.5239552730437345
2007-04-01,-2.409381319062073
2007-05-01,0.7317366620516393
2007-06-01,-0.7366408677901312
2007-07-01,-1.0235688201087176
2007-08-01,0.8285907423760991
2007-09-01,1.1005894142611956
2007-10-01,0.6552545046780859
2007-11-01,0.9725489830127986
2007-12-01,-0.1705398924919076
2008-01-01,-0.9955311168954405
2008-02-01,-1.7192018140492848
2008-03-01,0.9872375512793362
2008-04-01,0.8252750673085878
2008-05-01,-0.825662459735778
2008-06-01,0.14850518885666944
2008-07-01,1.0230111029832136
2008-08-01,-0.48042395422445894
2008-09-01,-0.13311880971306353
2008-10-01,-0.5139279435285865
2008-11-01,-0.39080227808414086
2008-12-01,0.8805422747758058
2009-01-01,0.24834927813201663
2009-02-01,0.568508157752223
2009-03-01,0.9386471915932607
2009-04-01,-1.634488086036788
2009-05-01,-0.7008489093851571
2009-06-01,1.4196851164054491
2009-07-01,-0.3282235666844986
2009-08-01,-0.05612184736794316
2009-09-01,-1.5184353990255373
2009-10-01,0.7592370252126233
2009-11-01,0.4620358586327253
2009-12-01,1.3617014953938882
2010-01-01,0.7204137256301428
2010-02-01,0.9401981049311696
2010-03-01,-0.3190245596232257
2010-04-01,0.0976497563491921
2010-05-01,1.8343625536711923
2010-06-01,1.5264835993204873
2010-07-01,0.4925049991191047
2010-08-01,0.6667959116236772
2010-09-01,0.5496702868694965
2010-10-01,-0.40269274548668144
2010-11-01,0.6176755370802214
2010-12-01,0.9526705291566347
2011-01-01,-1.003419471193467
2011-02-01,-1.2269583192642317
2011-03-01,-0.9982000522324244
2011-04-01,-1.1114896797920646
2011-05-01,-0.43281853438896706
2011-06-01,0.24147474462041765
2011-07-01,0.648473821196343
2011-08-01,-1.0695450096955879
2011-09-01,-1.8377250071267102
2011-10-01,-0.5978279957798093
2011-11-01,-3.260737883803735
2011-12-01,0.38224319736352413
2012-01-01,1.2453957594664686
2012-02-01,-0.05529439306503807
