time,Agg-48
1998-01-01,
1998-02-01,
1998-03-01,
1998-04-01,
1998-05-01,
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,
1999-03-01,
1999-04-01,
1999-05-01,
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,-0.2339981868301352
2002-01-01,-0.5195908364211772
2002-02-01,-0.2806896343938064
2002-03-01,-0.18384631641433227
2002-04-01,-0.21637813786387944
2002-05-01,-0.3888664507838055
2002-06-01,-0.5327782698093962
2002-07-01,-0.4263177789183221
2002-08-01,0.07298280663933032
2002-09-01,-0.2117931785097677
2002-10-01,-0.5566800444487952
2002-11-01,-0.5018023863139985
2002-12-01,-0.16535474778807188
2003-01-01,0.18927954906528718
2003-02-01,-0.5153288513883064
2003-03-01,-0.6651395120184219
2003-04-01,-1.09276588590196
2003-05-01,-1.4789941668064417
2003-06-01,-1.8512179174260361
2003-07-01,-2.0342552220591616
2003-08-01,-2.406980324504384
2003-09-01,-2.421265253826032
2003-10-01,-2.251528462004965
2003-11-01,-2.1698011933492234
2003-12-01,-2.4752258257580375
2004-01-01,-2.4380238243794716
2004-02-01,-2.5477443422329014
2004-03-01,-2.526975742126044
2004-04-01,-2.4129244138147046
2004-05-01,-2.361497113454509
2004-06-01,-1.447403955590604
2004-07-01,-1.338815164738228
2004-08-01,-0.9627451114990073
2004-09-01,-1.0480510154795406
2004-10-01,-1.1179989275800994
2004-11-01,-0.7582540842075124
2004-12-01,-0.6832305255432697
2005-01-01,-0.7421235837807657
2005-02-01,-0.5022016113297296
2005-03-01,-0.8537200405786388
2005-04-01,-0.8519776368948351
2005-05-01,-0.5776205930765101
2005-06-01,-0.8531311927455277
2005-07-01,-0.42512513204796154
2005-08-01,0.41417306753284117
2005-09-01,-0.07228545843702981
2005-10-01,-0.10974907908438544
2005-11-01,-0.24557206117537628
2005-12-01,0.14428194480602635
2006-01-01,0.4428584465364539
2006-02-01,0.5709895283288647
2006-03-01,0.8736724475923976
2006-04-01,1.135507904316123
2006-05-01,1.3051707480112533
2006-06-01,1.4053617069886217
2006-07-01,0.9251190347320999
